# v4 region ring: NAMED vertices joined by straight lines (the polygon closes itself). SOURCE OF TRUTH.
# Rule (user, 2026-09-25): contain the NACCS Sandy peak +3 m water, connected from the ocean, with a margin;
# rivers are crossed where that water ends; neighbour basins with their own inlets (NY Upper Bay / Hudson,
# Jamaica Bay, Rehoboth Bay, the Chesapeake) are shut off at the declared lines in v4_crossings.geojson.
# Traced ONCE (logs/v4_design_2026-09-25/trace_ring_guide.py: 500 m net margin, gaps < ~10 km closed,
# 1 km straight-line tolerance); from here on it is EDITED BY HAND, and checked, never regenerated.
# Sections run: ocean south -> Delaware west shore -> C&D -> Wilmington -> PA -> Trenton -> NJ Delaware shore
# -> Cumberland -> NJ Atlantic inland -> Raritan -> Newark -> Hackensack -> Hudson route -> NY corner -> ocean.
name,lon,lat,note
ocean_se,-73.55,38.855,
ocean_s_bend,-74.97,38.76,
ocean_sw,-74.985,38.725,
de_south_01,-75.1396,38.7256,
de_south_02,-75.1772,38.7396,
de_south_03,-75.2686,38.7305,
de_south_04,-75.3308,38.7465,
de_bay_w_01,-75.3629,38.8248,
de_bay_w_02,-75.4126,38.8517,
de_bay_w_03,-75.4312,38.8854,
de_bay_w_04,-75.4728,38.8992,
de_bay_w_05,-75.4909,38.9352,
de_bay_w_06,-75.5297,38.949,
de_bay_w_07,-75.5421,38.9836,
de_bay_w_08,-75.5213,39.0635,
de_bay_w_09,-75.5412,39.0985,
de_bay_w_10,-75.5365,39.1571,
de_bay_w_11,-75.5682,39.2133,
de_bay_w_12,-75.6274,39.2351,
de_bay_w_13,-75.6243,39.2725,
de_bay_w_14,-75.65,39.3007,
de_bay_w_15,-75.644,39.3399,
de_bay_w_16,-75.6884,39.3703,
de_bay_w_17,-75.7239,39.4345,
de_bay_w_18,-75.7143,39.46,
de_cd_01,-75.699,39.46,
de_cd_02,-75.699,39.5002,
cd_s,-75.699,39.535,cd_canal forced span south end
cd_n,-75.699,39.552,cd_canal forced span north end
de_cd_04,-75.699,39.561,
de_cd_05,-75.6789,39.5884,
de_cd_06,-75.699,39.6171,
de_cd_07,-75.699,39.62,
de_cd_08,-75.701,39.62,
de_cd_09,-75.7091,39.6315,
wilmington_01,-75.6732,39.7164,
wilmington_02,-75.5946,39.7376,
wilmington_03,-75.5598,39.7661,
wilmington_04,-75.5085,39.7695,
pa_delco_01,-75.4213,39.8293,
pa_delco_02,-75.4028,39.8641,
pa_delco_crum,-75.357,39.884,added by hand: clear the Crum / Ridley Creek head
pa_delco_03,-75.3099,39.8869,
pa_delco_04,-75.2721,39.9262,
pa_delco_05,-75.2241,39.9394,
schuylkill_01,-75.2179,39.9975,
schuylkill_02,-75.259,40.0357,
schuylkill_03,-75.2532,40.0492,
schuylkill_04,-75.1687,40.0021,
schuylkill_05,-75.1312,39.9981,
pa_bucks_01,-74.9419,40.0828,
pa_bucks_02,-74.9213,40.1517,
pa_bucks_03,-74.8691,40.1346,
pa_bucks_04,-74.8298,40.1435,
pa_bucks_05,-74.7961,40.2011,
pa_bucks_06,-74.8607,40.2539,
pa_bucks_07,-74.8659,40.2728,
pa_bucks_08,-74.8494,40.2769,
nj_crosswicks,-74.668,40.192,added by hand: clear the Crosswicks Creek branch
nj_burlington_01,-74.6448,40.1638,
nj_burlington_02,-74.6948,40.1401,
nj_burlington_03,-74.7779,40.0434,
nj_burlington_04,-74.7744,40.0105,
nj_burlington_05,-74.7406,39.9884,
nj_burlington_06,-74.7501,39.937,
nj_burlington_07,-74.8087,39.9142,
nj_burlington_08,-74.8466,39.9593,
nj_burlington_09,-74.9192,39.9679,
nj_gloucester_salem_01,-75.0251,39.876,
nj_gloucester_salem_02,-75.0222,39.8157,
nj_gloucester_salem_03,-75.1074,39.7882,
nj_gloucester_salem_04,-75.1313,39.7665,
nj_gloucester_salem_05,-75.2008,39.7655,
nj_gloucester_salem_06,-75.2357,39.7285,
nj_gloucester_salem_07,-75.2934,39.7185,
nj_gloucester_salem_08,-75.353,39.6259,
nj_gloucester_salem_09,-75.3306,39.5625,
nj_gloucester_salem_10,-75.3648,39.5308,
nj_gloucester_salem_11,-75.3699,39.5015,
nj_cumberland_01,-75.3126,39.449,
nj_cumberland_02,-75.2372,39.4667,
nj_cumberland_03,-75.1829,39.3997,
nj_cumberland_04,-75.1892,39.3668,
nj_cumberland_05,-75.1688,39.333,
nj_cumberland_06,-75.1137,39.3106,
nj_cumberland_07,-75.0742,39.3196,
nj_cumberland_08,-75.0528,39.3548,
nj_cumberland_09,-75.0807,39.4088,
nj_cumberland_10,-75.087,39.456,Maurice above Union Lake: apex moved W+N 09-26 so the river's bend is IN (was -75.0715 39.4489; 3 crossings)
nj_cumberland_10b,-75.066,39.452,shoulder east of the bend (09-26)
nj_cumberland_11,-75.0285,39.4026,
nj_cumberland_12,-74.9425,39.3701,
nj_cumberland_13,-74.9385,39.3368,
nj_cumberland_14,-74.913,39.3169,
nj_atlantic_s_01,-74.7894,39.342,
nj_atlantic_s_02,-74.7672,39.3757,
nj_atlantic_s_03,-74.792,39.528,moved by hand: clear the Tuckahoe head by ~1 km
nj_atlantic_s_04,-74.6896,39.4697,
nj_atlantic_s_05,-74.6574,39.3966,
nj_atlantic_s_06,-74.6226,39.392,
nj_atlantic_s_07,-74.5708,39.4126,
nj_atlantic_s_08,-74.5272,39.503,
nj_atlantic_s_09,-74.556,39.5423,
nj_atlantic_s_10,-74.6252,39.547,
nj_atlantic_s_11,-74.6395,39.5962,
nj_atlantic_s_12,-74.6866,39.6265,
