body,area_km2,gap_m,crest_m,crest_max_m,body_min_z,lon,lat,x,y
1450,0.064,125,1.0,2.15,-5.66,-74.73621,39.09239,522812,4327062
980,0.411,135,0.66,2.05,-3.13,-74.40702,39.39192,551062,4360438
62,0.249,50,0.56,0.56,-7.72,-73.97623,40.35319,586938,4467462
157,0.024,266,0.42,1.72,-1.54,-74.05882,40.02325,580312,4430762
257,0.088,251,-0.14,0.12,-3.26,-74.10367,39.77427,576762,4403088
1266,0.069,71,-0.14,-0.14,-6.13,-74.66084,39.19627,529288,4338612
1172,0.179,250,-0.66,0.69,-4.28,-74.70388,39.28695,525538,4348662
1486,0.089,35,-0.73,-0.34,-3.92,-74.76841,39.05777,520038,4323212
1261,0.116,50,-0.74,-0.74,-4.3,-74.65123,39.20616,530112,4339712
802,0.021,106,-0.74,-0.23,-1.59,-74.32966,39.46696,557662,4368812
1446,0.024,35,-0.77,0.03,-2.12,-74.72578,39.0971,523712,4327588
185,0.079,214,-0.8,1.5,-1.6,-74.07657,39.96641,578862,4424438
1480,0.032,160,-0.81,-0.06,-1.56,-74.76927,39.06092,519962,4323562
577,0.028,35,-0.82,-0.82,-1.43,-74.30375,39.55917,559812,4379062
1365,0.021,285,-0.82,-0.51,-2.73,-74.72617,39.14734,523662,4333162
1471,0.027,90,-0.83,-0.83,-3.27,-74.7834,39.07019,518738,4324588
1009,0.104,35,-0.84,-0.84,-2.73,-74.43732,39.37878,548462,4358962
1433,0.028,236,-0.84,-0.64,-2.28,-74.77113,39.10936,519788,4328938
1442,0.126,35,-0.86,-0.86,-3.15,-74.73993,39.10299,522488,4328238
57,0.098,56,-0.91,-0.15,-2.43,-73.98262,40.35911,586388,4468112
773,0.066,285,-0.91,-0.29,-1.46,-74.33119,39.48905,557512,4371262
1379,0.056,283,-0.91,0.03,-1.69,-74.71958,39.12907,524238,4331138
28,0.04,90,-0.93,-0.92,-1.37,-74.28826,40.49563,560312,4483012
730,0.031,35,-0.93,-0.93,-1.19,-74.4225,39.5213,549638,4374788
1457,0.077,125,-0.94,-0.76,-1.92,-74.76572,39.0857,520262,4326312
1434,0.022,275,-0.94,-0.63,-4.16,-74.76449,39.10619,520362,4328588
1011,0.021,255,-0.94,0.53,-1.91,-74.46899,39.37555,545738,4358588
830,0.06,75,-0.95,-0.92,-4.12,-74.3714,39.44715,554088,4366588
862,0.049,236,-0.95,-0.68,-4.37,-74.38485,39.43753,552938,4365512
1278,0.048,146,-0.95,-0.69,-2.67,-74.68378,39.17967,527312,4336762
1120,0.029,35,-0.95,-0.26,-2.08,-74.58543,39.31678,535738,4352012
1447,0.065,56,-0.96,-0.95,-1.71,-74.77234,39.09472,519688,4327312
1109,0.034,112,-0.96,-0.86,-1.59,-74.56744,39.31919,537288,4352288
1146,0.031,127,-0.96,-0.94,-1.23,-74.62551,39.30723,532288,4350938
274,0.028,125,-0.96,-0.74,-2.45,-74.13209,39.76615,574338,4402162
624,0.028,56,-0.96,-0.95,-2.89,-74.25492,39.55391,564012,4378512
337,0.077,100,-0.97,-0.9,-1.23,-74.18751,39.69402,569662,4394112
567,0.049,35,-0.97,-0.82,-1.8,-74.37798,39.55689,553438,4378762
382,0.023,112,-0.97,-0.33,-1.13,-74.26501,39.61795,563088,4385612
341,0.085,246,-0.98,0.54,-1.24,-74.19808,39.68778,568762,4393412
242,0.021,146,-0.98,-0.82,-1.12,-74.1276,39.7981,574688,4405712
787,0.082,182,-0.99,-0.95,-1.17,-74.3691,39.47642,554262,4369838
864,0.052,150,-0.99,-0.97,-1.06,-74.43193,39.43575,548888,4365288
806,0.028,150,-0.99,-0.97,-1.05,-74.37506,39.46023,553762,4368038
408,4.292,175,-1.0,-0.98,-1.59,-74.41645,39.5501,550138,4377988
118,0.029,202,-1.0,-0.72,-1.39,-74.07762,40.06305,578662,4435162
243,0.028,35,-1.0,-1.0,-1.05,-74.13374,39.79724,574162,4405612
