lon,product,crest_m,crest_dist_m
-74.1632,model subgrid (3.125 m),-0.1,782.0
-74.1632,USACE 2010 (~1 m),-0.09,777.0
-74.1632,"CUDEM 1/9"" (~3 m)",-0.19,792.0
-74.1466,model subgrid (3.125 m),5.99,722.0
-74.1466,USACE 2010 (~1 m),6.04,722.0
-74.1466,"CUDEM 1/9"" (~3 m)",5.73,722.0
-74.1422,model subgrid (3.125 m),6.09,416.0
-74.1422,USACE 2010 (~1 m),6.25,326.0
-74.1422,"CUDEM 1/9"" (~3 m)",6.19,326.0
-74.1362,model subgrid (3.125 m),2.9,436.0
-74.1362,USACE 2010 (~1 m),2.95,436.0
-74.1362,"CUDEM 1/9"" (~3 m)",2.73,441.0
-74.1131,model subgrid (3.125 m),-2.47,797.0
-74.1131,USACE 2010 (~1 m),nan,nan
-74.1131,"CUDEM 1/9"" (~3 m)",-2.48,797.0
