station,group,x,y,face_dist_m,bed_m,max_hourly_m,max_60s_m,zsmax_m,excess_total_m,excess_recovered_m,recovery_frac,hp_std_m,hp_max_m,hp_std_crest_m,hp_max_crest_m,hp_std_quiet_m,crest_quiet_ratio,peak_period_min,peak_power,dist_nearest_src_m,nearest_src_qmax,src_contaminated
rb_axis_571k,axis,570996.875,4483838.5,0.0,-14.885,3.4254,3.7056,3.7143,0.2889,0.2802,0.97,0.0456,0.3772,0.0705,0.3772,0.04017,1.8,40.0,4.385222583305269,11367.3,2.01,False
rb_axis_569k,axis,568438.625,4484455.0,0.2,-15.279,3.3604,3.7735,3.7797,0.4193,0.4131,0.9852,0.0475,0.3499,0.0712,0.3499,0.04171,1.7,60.0,3.461479803363121,8793.3,2.01,False
rb_axis_566k,axis,566794.0,4484034.0,0.2,-16.172,3.2472,3.8515,3.8565,0.6093,0.6042,0.9917,0.0513,0.3757,0.0838,0.3757,0.04166,2.0,60.0,2.948484280013967,7160.0,2.01,False
rb_axis_564k,axis,564267.0,4482251.0,0.0,-15.454,3.6831,4.0127,4.0299,0.3468,0.3296,0.9504,0.1234,1.8597,0.2215,1.8597,0.04641,4.8,40.0,39.7826322947138,5112.2,2.01,False
rb_axis_561k,axis,560918.875,4483044.0,0.3,-11.911,3.4114,4.3379,4.3447,0.9333,0.9266,0.9927,0.0821,0.7042,0.1574,0.7042,0.03816,4.1,34.29,19.557312969389503,1886.9,2.01,False
rb_axis_559k,axis,559384.1875,4484737.0,0.2,-10.371,4.1173,4.6534,5.9845,1.8671,0.5361,0.2871,0.1093,1.1466,0.2063,0.9626,0.04594,4.5,34.29,39.994230159212165,253.3,110.44,True
sss_arthur_kill_mouth,flank,565213.6875,4483726.0,3.4,-1.085,3.6769,3.8081,3.8249,0.148,0.1312,0.8865,0.0955,1.4852,0.1849,1.4852,0.04401,4.2,6.0,5.532538185246971,5613.5,2.01,False
sss_great_kills,flank,573860.8125,4488442.0,11.6,-2.142,3.3726,3.7878,3.7884,0.4159,0.4152,0.9984,0.0843,0.6815,0.161,0.6815,0.04636,3.5,40.0,40.877162876994355,14769.1,2.01,False
usgs_tidal_shark_river,control,582918.375,4448779.0,0.4,-4.092,2.6322,2.6712,2.6712,0.0389,0.0389,1.0,0.0061,0.0277,0.007,0.0223,0.00631,1.1,60.0,0.006470494414024903,1322.8,3.54,False
usgs_tidal_sea_bright,control,587006.625,4468834.0,0.0,-4.366,2.6505,2.6762,2.6763,0.0258,0.0257,0.9952,0.0156,0.1201,0.0193,0.1045,0.01415,1.4,60.0,0.5014069425845316,5944.7,7.87,False
sandy_hook,control,584004.6875,4480052.0,8.2,-4.767,3.2393,3.4791,3.4836,0.2443,0.2398,0.9818,0.0362,0.2281,0.0441,0.2098,0.03513,1.3,60.0,2.0075124870785186,11179.4,7.87,False
